Source,Target,Relation
146,176,Sci&Tech and Mkt&HR
146,179,Sci&Tech and Mkt&HR
146,180,Sci&Tech and Mkt&HR
146,182,Sci&Tech and Mkt&HR
146,198,Sci&Tech and Mkt&HR
146,203,Sci&Tech and Mkt&HR
157,161,Sci&Tech and Mkt&HR
157,170,Sci&Tech and Mkt&HR
157,174,Sci&Tech and Mkt&HR
157,176,Sci&Tech and Mkt&HR
157,179,Sci&Tech and Mkt&HR
157,180,Sci&Tech and Mkt&HR
157,182,Sci&Tech and Mkt&HR
157,198,Sci&Tech and Mkt&HR
157,203,Sci&Tech and Mkt&HR
161,170,Sci&Tech and Mkt&HR
161,174,Sci&Tech and Mkt&HR
161,176,Sci&Tech and Mkt&HR
161,179,Sci&Tech and Mkt&HR
161,180,Sci&Tech and Mkt&HR
161,182,Sci&Tech and Mkt&HR
161,198,Sci&Tech and Mkt&HR
161,203,Sci&Tech and Mkt&HR
170,174,Sci&Tech and Mkt&HR
170,176,Sci&Tech and Mkt&HR
170,179,Sci&Tech and Mkt&HR
170,180,Sci&Tech and Mkt&HR
170,182,Sci&Tech and Mkt&HR
170,198,Sci&Tech and Mkt&HR
170,203,Sci&Tech and Mkt&HR
174,176,Sci&Tech and Mkt&HR
174,179,Sci&Tech and Mkt&HR
174,180,Sci&Tech and Mkt&HR
174,182,Sci&Tech and Mkt&HR
174,198,Sci&Tech and Mkt&HR
174,203,Sci&Tech and Mkt&HR
176,179,Sci&Tech and Mkt&HR
176,180,Sci&Tech and Mkt&HR
176,182,Sci&Tech and Mkt&HR
176,198,Sci&Tech and Mkt&HR
176,203,Sci&Tech and Mkt&HR
179,180,Sci&Tech and Mkt&HR
179,182,Sci&Tech and Mkt&HR
179,198,Sci&Tech and Mkt&HR
179,203,Sci&Tech and Mkt&HR
180,182,Sci&Tech and Mkt&HR
180,198,Sci&Tech and Mkt&HR
180,203,Sci&Tech and Mkt&HR
182,198,Sci&Tech and Mkt&HR
182,203,Sci&Tech and Mkt&HR
198,203,Sci&Tech and Mkt&HR
2,6,Sci&Tech and Mkt&Fin
2,8,Sci&Tech and Mkt&Fin
2,24,Sci&Tech and Mkt&Fin
2,25,Sci&Tech and Mkt&Fin
2,40,Sci&Tech and Mkt&Fin
2,60,Sci&Tech and Mkt&Fin
2,63,Sci&Tech and Mkt&Fin
2,70,Sci&Tech and Mkt&Fin
2,71,Sci&Tech and Mkt&Fin
2,78,Sci&Tech and Mkt&Fin
2,79,Sci&Tech and Mkt&Fin
2,84,Sci&Tech and Mkt&Fin
2,85,Sci&Tech and Mkt&Fin
2,100,Sci&Tech and Mkt&Fin
2,107,Sci&Tech and Mkt&Fin
2,118,Sci&Tech and Mkt&Fin
2,127,Sci&Tech and Mkt&Fin
2,139,Sci&Tech and Mkt&Fin
2,143,Sci&Tech and Mkt&Fin
2,151,Sci&Tech and Mkt&Fin
2,153,Sci&Tech and Mkt&Fin
2,154,Sci&Tech and Mkt&Fin
2,159,Sci&Tech and Mkt&Fin
2,164,Sci&Tech and Mkt&Fin
2,168,Sci&Tech and Mkt&Fin
2,175,Sci&Tech and Mkt&Fin
2,188,Sci&Tech and Mkt&Fin
2,197,Sci&Tech and Mkt&Fin
2,212,Sci&Tech and Mkt&Fin
6,8,Sci&Tech and Mkt&Fin
6,24,Sci&Tech and Mkt&Fin
6,25,Sci&Tech and Mkt&Fin
6,40,Sci&Tech and Mkt&Fin
6,60,Sci&Tech and Mkt&Fin
6,63,Sci&Tech and Mkt&Fin
6,70,Sci&Tech and Mkt&Fin
6,71,Sci&Tech and Mkt&Fin
6,78,Sci&Tech and Mkt&Fin
6,79,Sci&Tech and Mkt&Fin
6,84,Sci&Tech and Mkt&Fin
6,85,Sci&Tech and Mkt&Fin
6,100,Sci&Tech and Mkt&Fin
6,107,Sci&Tech and Mkt&Fin
6,118,Sci&Tech and Mkt&Fin
6,127,Sci&Tech and Mkt&Fin
6,139,Sci&Tech and Mkt&Fin
6,143,Sci&Tech and Mkt&Fin
6,151,Sci&Tech and Mkt&Fin
6,153,Sci&Tech and Mkt&Fin
6,154,Sci&Tech and Mkt&Fin
6,159,Sci&Tech and Mkt&Fin
6,164,Sci&Tech and Mkt&Fin
6,168,Sci&Tech and Mkt&Fin
6,175,Sci&Tech and Mkt&Fin
6,188,Sci&Tech and Mkt&Fin
6,197,Sci&Tech and Mkt&Fin
6,212,Sci&Tech and Mkt&Fin
8,24,Sci&Tech and Mkt&Fin
8,25,Sci&Tech and Mkt&Fin
8,40,Sci&Tech and Mkt&Fin
8,60,Sci&Tech and Mkt&Fin
8,63,Sci&Tech and Mkt&Fin
8,70,Sci&Tech and Mkt&Fin
8,71,Sci&Tech and Mkt&Fin
8,78,Sci&Tech and Mkt&Fin
8,79,Sci&Tech and Mkt&Fin
8,84,Sci&Tech and Mkt&Fin
8,85,Sci&Tech and Mkt&Fin
8,100,Sci&Tech and Mkt&Fin
8,107,Sci&Tech and Mkt&Fin
8,118,Sci&Tech and Mkt&Fin
8,127,Sci&Tech and Mkt&Fin
8,139,Sci&Tech and Mkt&Fin
8,143,Sci&Tech and Mkt&Fin
8,151,Sci&Tech and Mkt&Fin
8,153,Sci&Tech and Mkt&Fin
8,154,Sci&Tech and Mkt&Fin
8,159,Sci&Tech and Mkt&Fin
8,164,Sci&Tech and Mkt&Fin
8,168,Sci&Tech and Mkt&Fin
8,175,Sci&Tech and Mkt&Fin
8,188,Sci&Tech and Mkt&Fin
8,197,Sci&Tech and Mkt&Fin
8,212,Sci&Tech and Mkt&Fin
24,25,Sci&Tech and Mkt&Fin
24,40,Sci&Tech and Mkt&Fin
24,60,Sci&Tech and Mkt&Fin
24,63,Sci&Tech and Mkt&Fin
24,70,Sci&Tech and Mkt&Fin
24,71,Sci&Tech and Mkt&Fin
24,78,Sci&Tech and Mkt&Fin
24,79,Sci&Tech and Mkt&Fin
24,84,Sci&Tech and Mkt&Fin
24,85,Sci&Tech and Mkt&Fin
24,100,Sci&Tech and Mkt&Fin
24,107,Sci&Tech and Mkt&Fin
24,118,Sci&Tech and Mkt&Fin
24,127,Sci&Tech and Mkt&Fin
24,139,Sci&Tech and Mkt&Fin
24,143,Sci&Tech and Mkt&Fin
24,151,Sci&Tech and Mkt&Fin
24,153,Sci&Tech and Mkt&Fin
24,154,Sci&Tech and Mkt&Fin
24,159,Sci&Tech and Mkt&Fin
24,164,Sci&Tech and Mkt&Fin
24,168,Sci&Tech and Mkt&Fin
24,175,Sci&Tech and Mkt&Fin
24,188,Sci&Tech and Mkt&Fin
24,197,Sci&Tech and Mkt&Fin
24,212,Sci&Tech and Mkt&Fin
25,40,Sci&Tech and Mkt&Fin
25,60,Sci&Tech and Mkt&Fin
25,63,Sci&Tech and Mkt&Fin
25,70,Sci&Tech and Mkt&Fin
25,71,Sci&Tech and Mkt&Fin
25,78,Sci&Tech and Mkt&Fin
25,79,Sci&Tech and Mkt&Fin
25,84,Sci&Tech and Mkt&Fin
25,85,Sci&Tech and Mkt&Fin
25,100,Sci&Tech and Mkt&Fin
25,107,Sci&Tech and Mkt&Fin
25,118,Sci&Tech and Mkt&Fin
25,127,Sci&Tech and Mkt&Fin
25,139,Sci&Tech and Mkt&Fin
25,143,Sci&Tech and Mkt&Fin
25,151,Sci&Tech and Mkt&Fin
25,153,Sci&Tech and Mkt&Fin
25,154,Sci&Tech and Mkt&Fin
25,159,Sci&Tech and Mkt&Fin
25,164,Sci&Tech and Mkt&Fin
25,168,Sci&Tech and Mkt&Fin
25,175,Sci&Tech and Mkt&Fin
25,188,Sci&Tech and Mkt&Fin
25,197,Sci&Tech and Mkt&Fin
25,212,Sci&Tech and Mkt&Fin
40,60,Sci&Tech and Mkt&Fin
40,63,Sci&Tech and Mkt&Fin
40,70,Sci&Tech and Mkt&Fin
40,71,Sci&Tech and Mkt&Fin
40,78,Sci&Tech and Mkt&Fin
40,79,Sci&Tech and Mkt&Fin
40,84,Sci&Tech and Mkt&Fin
40,85,Sci&Tech and Mkt&Fin
40,100,Sci&Tech and Mkt&Fin
40,107,Sci&Tech and Mkt&Fin
40,118,Sci&Tech and Mkt&Fin
40,127,Sci&Tech and Mkt&Fin
40,139,Sci&Tech and Mkt&Fin
40,143,Sci&Tech and Mkt&Fin
40,151,Sci&Tech and Mkt&Fin
40,153,Sci&Tech and Mkt&Fin
40,154,Sci&Tech and Mkt&Fin
40,159,Sci&Tech and Mkt&Fin
40,164,Sci&Tech and Mkt&Fin
40,168,Sci&Tech and Mkt&Fin
40,175,Sci&Tech and Mkt&Fin
40,188,Sci&Tech and Mkt&Fin
40,197,Sci&Tech and Mkt&Fin
40,212,Sci&Tech and Mkt&Fin
60,63,Sci&Tech and Mkt&Fin
60,70,Sci&Tech and Mkt&Fin
60,71,Sci&Tech and Mkt&Fin
60,78,Sci&Tech and Mkt&Fin
60,79,Sci&Tech and Mkt&Fin
60,84,Sci&Tech and Mkt&Fin
60,85,Sci&Tech and Mkt&Fin
60,100,Sci&Tech and Mkt&Fin
60,107,Sci&Tech and Mkt&Fin
60,118,Sci&Tech and Mkt&Fin
60,127,Sci&Tech and Mkt&Fin
60,139,Sci&Tech and Mkt&Fin
60,143,Sci&Tech and Mkt&Fin
60,151,Sci&Tech and Mkt&Fin
60,153,Sci&Tech and Mkt&Fin
60,154,Sci&Tech and Mkt&Fin
60,159,Sci&Tech and Mkt&Fin
60,164,Sci&Tech and Mkt&Fin
60,168,Sci&Tech and Mkt&Fin
60,175,Sci&Tech and Mkt&Fin
60,188,Sci&Tech and Mkt&Fin
60,197,Sci&Tech and Mkt&Fin
60,212,Sci&Tech and Mkt&Fin
63,70,Sci&Tech and Mkt&Fin
63,71,Sci&Tech and Mkt&Fin
63,78,Sci&Tech and Mkt&Fin
63,79,Sci&Tech and Mkt&Fin
63,84,Sci&Tech and Mkt&Fin
63,85,Sci&Tech and Mkt&Fin
63,100,Sci&Tech and Mkt&Fin
63,107,Sci&Tech and Mkt&Fin
63,118,Sci&Tech and Mkt&Fin
63,127,Sci&Tech and Mkt&Fin
63,139,Sci&Tech and Mkt&Fin
63,143,Sci&Tech and Mkt&Fin
63,151,Sci&Tech and Mkt&Fin
63,153,Sci&Tech and Mkt&Fin
63,154,Sci&Tech and Mkt&Fin
63,159,Sci&Tech and Mkt&Fin
63,164,Sci&Tech and Mkt&Fin
63,168,Sci&Tech and Mkt&Fin
63,175,Sci&Tech and Mkt&Fin
63,188,Sci&Tech and Mkt&Fin
63,197,Sci&Tech and Mkt&Fin
63,212,Sci&Tech and Mkt&Fin
70,71,Sci&Tech and Mkt&Fin
70,78,Sci&Tech and Mkt&Fin
70,79,Sci&Tech and Mkt&Fin
70,84,Sci&Tech and Mkt&Fin
70,85,Sci&Tech and Mkt&Fin
70,100,Sci&Tech and Mkt&Fin
70,107,Sci&Tech and Mkt&Fin
70,118,Sci&Tech and Mkt&Fin
70,127,Sci&Tech and Mkt&Fin
70,139,Sci&Tech and Mkt&Fin
70,143,Sci&Tech and Mkt&Fin
70,151,Sci&Tech and Mkt&Fin
70,153,Sci&Tech and Mkt&Fin
70,154,Sci&Tech and Mkt&Fin
70,159,Sci&Tech and Mkt&Fin
70,164,Sci&Tech and Mkt&Fin
70,168,Sci&Tech and Mkt&Fin
70,175,Sci&Tech and Mkt&Fin
70,188,Sci&Tech and Mkt&Fin
70,197,Sci&Tech and Mkt&Fin
70,212,Sci&Tech and Mkt&Fin
71,78,Sci&Tech and Mkt&Fin
71,79,Sci&Tech and Mkt&Fin
71,84,Sci&Tech and Mkt&Fin
71,85,Sci&Tech and Mkt&Fin
71,100,Sci&Tech and Mkt&Fin
71,107,Sci&Tech and Mkt&Fin
71,118,Sci&Tech and Mkt&Fin
71,127,Sci&Tech and Mkt&Fin
71,139,Sci&Tech and Mkt&Fin
71,143,Sci&Tech and Mkt&Fin
71,151,Sci&Tech and Mkt&Fin
71,153,Sci&Tech and Mkt&Fin
71,154,Sci&Tech and Mkt&Fin
71,159,Sci&Tech and Mkt&Fin
71,164,Sci&Tech and Mkt&Fin
71,168,Sci&Tech and Mkt&Fin
71,175,Sci&Tech and Mkt&Fin
71,188,Sci&Tech and Mkt&Fin
71,197,Sci&Tech and Mkt&Fin
71,212,Sci&Tech and Mkt&Fin
78,79,Sci&Tech and Mkt&Fin
78,84,Sci&Tech and Mkt&Fin
78,85,Sci&Tech and Mkt&Fin
78,100,Sci&Tech and Mkt&Fin
78,107,Sci&Tech and Mkt&Fin
78,118,Sci&Tech and Mkt&Fin
78,127,Sci&Tech and Mkt&Fin
78,139,Sci&Tech and Mkt&Fin
78,143,Sci&Tech and Mkt&Fin
78,151,Sci&Tech and Mkt&Fin
78,153,Sci&Tech and Mkt&Fin
78,154,Sci&Tech and Mkt&Fin
78,159,Sci&Tech and Mkt&Fin
78,164,Sci&Tech and Mkt&Fin
78,168,Sci&Tech and Mkt&Fin
78,175,Sci&Tech and Mkt&Fin
78,188,Sci&Tech and Mkt&Fin
78,197,Sci&Tech and Mkt&Fin
78,212,Sci&Tech and Mkt&Fin
79,84,Sci&Tech and Mkt&Fin
79,85,Sci&Tech and Mkt&Fin
79,100,Sci&Tech and Mkt&Fin
79,107,Sci&Tech and Mkt&Fin
79,118,Sci&Tech and Mkt&Fin
79,127,Sci&Tech and Mkt&Fin
79,139,Sci&Tech and Mkt&Fin
79,143,Sci&Tech and Mkt&Fin
79,151,Sci&Tech and Mkt&Fin
79,153,Sci&Tech and Mkt&Fin
79,154,Sci&Tech and Mkt&Fin
79,159,Sci&Tech and Mkt&Fin
79,164,Sci&Tech and Mkt&Fin
79,168,Sci&Tech and Mkt&Fin
79,175,Sci&Tech and Mkt&Fin
